A,31.97,34.85
AA,30.87,30.01
AAA,59.20,62.00
AAACW.OB,1.69,2.15
AAC,0.23,0.20
AACC,16.58,16.82
AACQ.OB,5.46,5.46
AACQU.OB,6.52,6.50
AACQW.OB,0.58,0.47
AADG.OB,3.75,4.20
AAE.V,0.44,0.34
AAG.V,0.90,0.90
AAGH.OB,0.07,0.06
AAI,12.53,11.74
AAM.V,1.16,1.10
AAME,2.85,2.96
AANB,13.40,13.35
AANI.OB,0.85,0.73
AAO.V,0.19,0.22
AAON,27.88,26.28
AAP,35.29,35.56
AAPL,91.32,84.84
AAR,23.95,24.34
AATI,5.58,5.39
AATK,1.06,0.91
AAU,2.46,2.25
AAU.V,2.36,2.23
AAUK,23.27,24.41
AAV,12.42,10.68
AAWW,42.37,44.50
AB,76.98,80.40
ABA,26.15,26.18
ABAT.OB,0.61,0.63
ABAX,18.91,19.25
ABB,16.31,17.98
ABBC,19.37,19.18
ABBI,26.77,27.34
ABC,45.73,44.96
ABCB,28.18,28.18
ABCO,55.00,53.54
ABCP.OB,0.55,0.50
ABCW,28.67,28.82
ABD,24.99,26.47
ABE.V,0.34,0.31
ABER,37.48,36.69
ABFS,37.21,36.00
ABG,23.59,23.56
ABG.V,2.50,2.50
ABHH.OB,2.77,2.74
ABI,36.61,36.69
ABI.V,0.84,0.69
ABIX,6.66,6.78
ABK,84.70,89.07
ABLE.PK,3.50,2.32
ABM,20.85,22.71
ABMD,12.44,14.10
ABN,30.18,32.05
ABN.V,0.69,0.68
ABNJ,12.24,11.98
ABNS.OB,15.35,16.75
ABP,4.09,3.09
ABPA.OB,5.05,5.30
ABPI,3.24,3.50
ABR,28.23,30.09
ABSD.OB,1.05,1.23
ABT,46.57,48.71
ABTG.OB,0.08,0.08
ABTL,3.10,3.50
ABV,46.00,48.80
ABVA,16.04,15.65
ABX,31.20,30.70
ABXA,6.20,6.93
ABY,2.31,2.56
ACA,12.99,15.46
ACAD,9.29,8.79
ACAM,3.91,0
ACAMY.PK,0,3.69
ACAP,39.47,40.04
ACAS,45.10,46.26
ACAT,16.62,17.59
ACC,29.25,28.47
ACCL,6.08,6.01
ACE,56.38,60.57
ACEC,0.96,1.25
ACEL,1.48,1.71
ACET,8.28,8.64
ACF,23.03,25.17
ACFC,18.07,18.23
ACFN.OB,3.30,3.47
ACG,8.25,8.14
ACGL,66.83,67.61
ACGY,19.70,19.08
ACH,19.92,23.50
ACHM.OB,1.66,0
ACHN,15.25,16.11
ACI,35.31,30.03
ACKH.OB,0.35,0.31
ACL,108.74,111.77
ACLI,69.42,65.51
ACLS,6.40,5.83
ACMR,21.81,21.67
ACN,33.81,36.93
ACO,27.81,27.74
ACOR,18.65,15.84
ACP,80.40,85.73
ACPW,2.68,2.62
ACS,50.37,48.84
ACSEF,4.70,4.08
ACT.V,0.12,0.12
