A,37.82,34.93
AA,9.81,8.65
AA.V,0.14,0.13
AACC,3.50,3.91
AACOU,10.00,0.00
AAG.V,0.33,0.24
AAGC.OB,0.154,0.085
AAM.V,1.11,1.15
AAME,1.99,1.97
AAN,26.00,26.68
AAN.V,0.045,0.065
AAO.V,0.055,0.04
AAON,21.01,20.49
AAP,68.75,69.63
AAPH.OB,0.275,0.23
AAPL,387.93,405.00
AAPT.PK,0.0038,0.002
AAR,3.95,4.49
AAT,20.44,20.51
AATI,5.75,5.78
AAU,2.66,2.52
AAU.V,0.06,0.055
AAV,4.75,4.14
AAVG.OB,0.0016,0.0021
AAWW,40.07,38.43
AAXJ,52.49,49.90
AB,13.26,13.08
ABAT,0,0.00
ABAT.PK,0.395,0
ABAX,27.23,27.67
ABB,18.68,18.83
ABC,37.24,37.19
ABCB,9.81,10.28
ABCD,3.04,3.02
ABCO,72.40,74.21
ABCW.PK,0.38,0.336
ABD,9.27,9.65
ABE.V,0.05,0.05
ABEW.PK,0.0011,0.0005
ABFS,18.76,19.27
ABG,19.78,21.56
ABGFF.PK,0.5024,0.466
ABGOF.PK,22.90,21.36
ABH,14.86,14.55
ABHD.OB,0.45,0.38
ABI,13.81,14.18
ABI.V,0.075,0.08
ABIO,1.35,1.00
ABKI.PK,1.10,1.03
ABL.V,0.61,0.52
ABLZF.PK,18.77,18.45
ABM,21.37,20.62
ABMC.PK,0.13,0.17
ABMD,19.91,18.47
ABN.V,0.09,0.08
ABOT.PK,0.04,0.0429
ABPI.PK,0.29,0.30
ABPR.PK,0.0011,0.0009
ABR,3.45,3.52
ABR.V,0.045,0.05
ABS.V,0.40,0.225
ABT,54.52,56.23
ABTL,0.71,0.70
ABU.V,0.12,0.13
ABV,34.68,36.09
ABV-C,28.12,28.87
ABVA,3.77,3.48
ABVT,59.49,65.01
ABX,52.81,45.25
ACAD,0.95,1.08
ACAR.OB,0.50,0.205
ACAS,7.03,6.73
ACAT,19.35,22.55
ACC,39.04,41.96
ACCELSAB.MX,7.800,7.800
ACCL,7.05,6.72
ACCP.OB,1.47,1.44
ACE,68.60,70.12
ACET,6.76,6.90
ACFC,1.17,2.85
ACFN,5.45,6.04
ACG,8.12,8.07
ACG.V,0.06,0.065
ACGL,37.48,37.23
ACH,12.40,10.80
ACHC,8.40,9.97
ACHN,6.90,7.62
ACI,16.19,14.51
ACIW,30.02,28.64
ACK.V,0.155,0.225
ACL.V,0.16,0.155
ACLLF.PK,63.09,56.0614
ACLS,1.28,1.33
ACM,21.47,20.57
ACME.PK,0.75,0.67
ACMUY.PK,3.94,4.41
ACN,57.97,53.23
ACNB,13.759,13.83
ACO,31.74,26.85
ACOM,23.30,22.96
ACOR,23.18,23.84
ACP,15.35,15.393
ACP.V,0.12,0.15
ACPIQ.PK,0.004,0.0023
ACPW,0.65,0.66
ACRX,2.91,1.92
ACT.V,0.075,0.085
ACTC.OB,0.1048,0.082
ACTG,34.77,36.51
ACTINVRB.MX,10.600,11.000
ACTN.OB,0.60,0.00
ACTS,1.92,1.83
ACTV,12.43,13.60
ACU,9.63,9.50
ACUR,3.58,3.49
ACUS.PK,0.075,0.057
ACUZW.OB,0.002,0.0003
ACW,5.98,7.12
ACWI,42.91,42.17
ACWX,38.01,36.81
ACXIF.PK,92.08,86.51
ACXM,12.63,12.21
ACY,7.85,6.15
ADAC.OB,0.21,0.138
ADAT,0.79,0.68
ADBE,27.14,28.27
ADC,23.88,24.38
ADD.V,0.155,0.13
ADDYY.PK,34.65,32.61
ADE.V,0.105,0.11
ADEP,2.25,2.40
ADES,20.48,22.64
ADG.V,0.125,0.11
ADGE,1.18,1.45
ADGF,5.75,6.456
ADI,35.21,35.78
ADI.V,0.94,0.98
ADK,3.80,3.98
ADK.V,0.29,0.32
ADL.V,0.30,0.305
ADLR,4.69,0.00
ADLS.PK,0.044,0.03
ADM,30.22,28.60
ADM.V,0.87,0.82
ADMP.OB,0.23,0.17
ADP,51.50,54.01
ADPC.PK,0.004,0.008
ADPI,18.75,18.83
ADRA,23.50,22.43
ADRD,19.06,18.69
ADRE,40.12,38.07
ADRU,18.86,18.6299
ADS,103.33,103.84
ADSK,34.27,30.33
ADT.V,0.05,0.045
ADTN,32.19,30.16
ADUS,3.75,3.57
ADVC.OB,0.25,0.221
ADVS,26.15,24.36
ADX,9.69,9.64
ADXS.OB,0.15,0.1573
ADY,3.74,2.59
ADZ,25.33,24.378
AE,27.40,29.25
AEA,8.59,8.95
AEB,16.01,15.95
AEBZY.PK,2.25,2.35
AEC,15.90,15.95
AED,19.55,19.80
AEE,33.70,33.13
AEF,22.08,22.10
AEG,4.26,4.02
AEGN,15.15,15.34
AEGR,16.50,16.74
AEGY.OB,0.0052,0
AEGYE.OB,0,0.00
AEH,19.42,19.47
AEHI.PK,0.05,0.04
AEHR,0.60,0.52
AEIS,9.79,10.73
AEL,10.84,10.40
AEL.V,0.075,0.065
AEM,44.35,36.32
AEMD.OB,0.06,0.0535
AEN,1.00,1.26
AENY.OB,0.055,0.00
AEO,14.08,15.29
AEP,39.62,41.31
AEPI,23.46,28.15
AER,10.53,11.29
AERG,0.10,0
AERG.OB,0,0.073
AERL,6.30,5.88
AERN.PK,0.0111,0.0042
AERO.PK,0.038,0.0159
AERS.PK,0.03,0.025
AERT.OB,0.11,0.07
AES,12.11,11.84
AET,41.68,42.19
AETI,4.22,5.078
AETUF.PK,25.51,24.5365
AEV,20.63,20.92
AEX.V,0.02,0.035
AEXP.OB,0.04,0.0155
AEY,1.96,2.095
AEZS,1.61,1.54
AF,7.74,8.49
AFAM,15.08,16.58
AFB,14.355,14.78
AFC,23.25,23.43
AFCB,12.36,12.00
AFCE,15.32,14.70
AFF,20.34,20.31
AFFM,0.86,0.53
AFFX,4.36,4.09
AFFY,5.13,6.61
AFG,35.49,36.89
AFK,27.48,25.75
AFL,43.04,43.26
AFLB.OB,0.0145,0.013
AFOP,7.73,7.66
AFPW.OB,0.0027,0.0015
AFQ,25.60,26.21
AFRVY.PK,21.48,20.79
AFSI,26.28,23.75
AFT,16.08,16.01
AFTC.PK,0.0008,0.0005
AFYG.PK,0.0189,0.016
AG,16.73,16.84
AGA,19.61,17.7917
AGC,6.24,6.30
AGC.V,1.30,1.25
AGCBF.PK,1.2728,1.0766
AGCO,45.25,42.97
AGD,5.58,5.17
AGD.V,0.175,0.135
AGE.V,0.435,0.43
AGEN,2.48,2.00
AGF,17.9026,18.71
AGFL.OB,0.0403,0.0197
AGG,108.91,110.25
AGG.V,0.40,0.325
AGGZF.PK,32.0331,36.4553
AGIGF.PK,16.8373,17.0173
AGII,28.99,28.96
AGL,40.89,0
AGL.V,0.285,0.27
AGM,16.64,18.02
AGM.V,0.81,0.70
AGN,84.18,87.74
AGNC,28.53,28.08
AGO,10.99,13.14
AGO.V,0.13,0.115
AGOL,173.00,155.904
AGP,56.96,59.08
AGPDY.PK,6.01,6.03
AGPPY.PK,11.01,10.85
AGQ,60.15,41.651
AGQ.V,0.315,0.235
AGRO,8.78,8.27
AGRPY.PK,35.00,34.85
AGU,70.48,67.11
AGX,13.67,15.21
AGX.V,0.04,0.035
AGXMF.OB,0.33,0.3066
AGYS,7.93,7.95
AGZ,112.13,112.95
AH,22.90,22.98
AHB,9.31,9.35
AHC,4.03,4.75
AHC.V,0.095,0.09
AHCHF.PK,3.49,3.08
AHF.V,1.42,1.42
AHGP,50.73,51.98
AHKSY.PK,11.85,12.05
AHL,26.09,26.50
AHNR.OB,0.31,0.28
AHODF.PK,12.25,13.15
AHONY.PK,12.74,13.45
AHPI,3.31,3.40
AHR.V,0.50,0.41
AHRO.OB,1.45,1.30
AHS,4.37,4.43
AHT,7.80,8.00
AI,19.60,21.33
AIA,41.435,39.15
AIA.V,0.33,0.35
AIBYY.PK,0.81,0.68
AIDO.PK,0.009,0.0051
AIG,23.00,23.20
AIIFF.PK,1.465,2.0395
AILLL.PK,25.20,25.65
AIM,2.88,3.20
AIMC,17.67,18.83
AIN,24.40,23.12
AINSF.PK,0.50,0.43
AINV,7.19,6.44
AIQ,1.16,1.26
AIQUY.PK,24.80,24.60
AIR,17.99,19.17
AIR.V,0.045,0.04
AIRM,80.26,84.45
AIRT,8.41,8.49
AIS,2.59,2.20
AIT,34.30,35.17
AIV,21.75,22.91
AIX.V,0.13,0.105
AIXG,13.55,12.70
AIZ,39.05,41.06
AJC.V,0.035,0.045
AJG,31.18,33.44
AJGH.PK,0.37,0.20
AJINY.PK,116.57,120.00
AKA.V,0.165,0.155
AKAM,29.16,32.28
AKBTY.PK,6.65,6.28
AKN,9.36,9.12
AKO-A,21.22,20.93
AKP,14.31,14.51
AKR,19.40,20.14
AKRX,10.85,11.12
AKS,8.18,8.26
AKV.V,0.035,0.04
AL,22.90,23.71
ALAN.OB,0.7499,0.6201
ALB,53.50,51.51
ALBKY.PK,0.285,0.23
ALC,13.68,14.89
ALCL.PK,0.0024,0.0012
ALCO,17.88,19.37
ALD,50.66,50.09
ALE,39.88,41.98
ALEX,38.06,40.82
ALFAA.MX,161.500,152.000
ALG,27.46,26.93
ALGN,24.50,23.725
ALGT,51.85,53.34
ALIAF.PK,11.7337,10.2776
ALIF.PK,0.044,0.07
ALIM,1.23,1.25
ALJ,8.54,8.71
ALK,69.96,75.09
ALKS,15.41,17.36
ALL,26.56,27.41
ALLT,16.82,15.20
ALLZF.PK,12.08,12.29
ALM,26.63,26.52
ALME.OB,0.1699,0.115
ALN,1.28,1.60
ALN.V,0.12,0.17
ALNC,28.34,30.88
ALNPY.PK,5.92,5.46
ALNY,6.87,8.15
ALOG,56.22,57.32
ALOT,7.97,7.61
ALQ.V,0.03,0.03
ALQA.OB,0.085,0.06
ALR,23.60,23.09
ALR.V,0.115,0.12
ALRN,2.00,1.9999
ALRX.OB,0.05,0.0544
ALSC.PK,0.14,0.13
ALSE.PK,0.10,0.24
ALSEA.MX,13.580,14.080
ALSK,5.26,3.01
ALSWF.PK,4.5023,4.7625
ALT,48.84,48.75
ALT.V,0.10,0.09
ALTE,22.65,23.63
ALTH,1.36,1.42
ALTI,0.98,0.66
ALTKY.PK,0.27,0.28
ALTO.OB,0.0005,0.0004
ALTR,37.55,37.10
ALTUQ.PK,0.0025,0.0018
ALU,1.64,1.56
ALUM,9.75,9.03
ALV,52.57,53.49
ALVR,0.84,0.91
ALX,383.03,370.03
ALXA,0.991,0.83
ALXN,69.26,71.50
ALYI.PK,0.125,0.17
ALZM.OB,0.0083,0.0235
AM,17.18,12.51
AMA.V,0.185,0.225
AMAC,8.58,0.00
AMAG,17.77,18.91
AMAP,11.09,10.03
AMAR.OB,0.0339,0.035
AMAT,10.77,10.71
AMBO,6.82,7.10
AMBS.OB,0.15,0.135
AMBT,6.60,4.63
AMCC,7.30,6.72
AMCF,3.629,3.17
AMCN,3.50,3.63
AMCRY.PK,30.06,29.50
AMD,5.70,5.40
AME,42.36,42.10
AME.V,0.16,0.165
AMED,11.82,10.91
AMEH.PK,0.15,0.1458
AMEL.OB,0.09,0.19
AMG,93.02,95.95
AMG.V,0.14,0.15
AMGN,58.00,64.21
AMH.V,0.015,0.035
AMIC,4.242,3.871
AMID,19.00,18.17
AMJ,37.34,38.97
AMK.V,0.05,0.045
AMKR,4.47,4.36
AMKT.OB,0.76,0.60
AML.V,0.06,0.06
AMLM.PK,0.065,0.026
AMLN,10.87,11.38
AMLP,16.12,16.62
AMM,10.15,9.96
AMNB,18.44,19.49
AMNL.OB,1.18,1.27
AMNP.OB,0.014,0.0021
AMOK.OB,0.06,0.0295
AMOT,6.10,5.64
AMOV,23.543,22.4801
AMP,45.48,49.64
AMPE,6.73,4.27
AMPL,0.36,0.3197
AMPW.OB,0.29,0.125
AMR,0.33,0.35
AMRC,11.19,13.72
AMRI,2.33,2.93
AMRN,7.43,7.49
AMRS,10.95,11.54
AMSC,4.15,3.69
AMSF,23.82,23.25
AMSG,25.74,26.04
AMST.PK,0.0021,0.0018
AMSWA,8.29,9.45
AMT,58.60,60.01
AMTCP,3.9999,4.00
AMTD,16.11,15.65
AMTG,14.48,15.26
AMTX.PK,0.76,0.70
AMU.V,0.04,0.04
AMWD,11.78,13.66
AMWI.OB,0.221,0.116
AMWW.PK,0.003,0.0016
AMX,23.53,22.60
AMX.V,0.20,0.17
AMXA.MX,16.450,14.930
AMXL.MX,16.040,15.820
AMY.V,0.36,0.375
AMZG.OB,0.74,0.00
AMZN,197.13,173.10
AN,35.99,36.87
ANA.V,0.155,0.145
ANAC,5.10,6.20
ANAD,2.11,2.19
ANAT,71.33,73.03
ANCI,0.33,0.43
ANCUF.PK,29.31,31.12
ANCX,9.12,8.80
AND,12.768,12.45
ANDE,43.47,43.66
ANDR.OB,0.0645,0.06
ANEN,16.81,16.62
ANF,47.88,48.84
ANF.V,6.00,5.66
ANGN,4.50,5.22
ANGO,14.88,14.81
ANH,6.25,6.28
ANI.V,0.165,0.155
ANIK,7.75,9.80
