Company,Y,predict
SNPS,3.1680292844027726,0.84395427
SNS,1.6928609342344192,1.3525559
SNSA,-1.4145848751218568,-2.6684387
SNSS,-5.528076314357712,-1.9408337
SNT,-8.818502702129205,-6.4785542
SNTO,-1.1090942066945122,-1.0495433
SNTS,-0.013208379593515444,-1.7954715
SNUS,-1.873107671627798,0.42362753
SNV,1.3085872043962994,0.105289094
SNWL,-19.835561652679868,0.8874683
SNX,-3.004298674616168,1.2482266
SNY,3.5874279494154773,0.48349544
SO,-0.1350320761735248,0.34178025
SOFO,19.5180543578321,-0.85028654
SOHU,-1.712442096068609,0.19176447
SOLD,3.7828213734399694,-5.236665
SOMH,3.359884947956547,-0.5491968
SOMX,5.501440920139985,-1.2702186
SON,1.3706722847336281,-0.17051919
SONC,1.502241272059434,0.55855656
SONE,5.71375270126955,1.5349501
SONO,-5.490165988729457,0.37086976
SONS,1.1856357997331028,-1.2197293
SONT,-106.30768019130673,-7.747953
SOR,0.7326681273372257,-1.3844572
SORC,-10.4918538607745,0.14096603
SORL,17.612585589424175,-0.022404104
SOV,-0.2460511284960701,-0.75750816
SPA,-5.006395954461602,-0.2614662
SPAB,-18.46885235247888,-3.2266037
SPAR,-46.40743550845332,-0.65147686
SPC,14.417527322891633,-5.8788323
SPEC,7.667475088196403,0.12648663
SPEX,7.264797257822733,-0.23785187
SPF,-0.05268099117873345,-1.8719406
SPG,-1.9900443601947082,-1.2655256
SPH,-1.3353045006989774,-0.5284754
SPI,-2.6924466599342103,1.5620133
SPIL,-0.14628433525435916,0.9538761
SPIR,0.024272879776786327,-0.85148484
SPLS,3.54785752939955,0.119179375
SPM,4.310080426453925,-0.31212562
SPN,-3.4735600071253314,1.4977123
SPNC,-1.8114973071698919,0.14317617
SPP,2.747605608165132,0.9709589
SPPI,0.44337466101397294,-3.5562336
SPPR,-0.6799745636010857,-3.6061375
SPRT,-5.7428557213727425,0.59489036
SPSN,-0.06529090719468568,0.40722048
SPSS,5.537696469500611,0.851892
SPSX,-5.666076181281638,0.6190648
SPTN,1.7509278673013569,0.49885058
SPW,-2.396004337184816,-0.6511938
SPWR,0.3643671587067462,1.2540271
SQA-A,2.521667643777271,1.273094
SQF,-0.6711398608888192,-1.6396495
SQM,-1.0441895328171509,0.77829444
SQNM,-12.229536113162633,-0.1326401
SR,-3.962442096068605,-0.2758985
SRA,-3.6104073863139616,0.61063313
SRCE,3.060511529826202,-0.22019878
SRCL,3.3151517229159375,1.2919374
SRDX,-8.711585198039481,-1.0485771
SRE,0.09796228723196812,-0.21520855
SRI,7.978034094407572,-1.3765897
SRO,-6.100640853832582,-0.2903678
SRP,-0.0009150610121773721,1.4756929
SRQ,-6.464458491678814,-0.30937824
SRR,-3.203600363088949,1.0819446
SRSL,-3.2093613813427937,-0.58985627
SRT,-2.727459328958816,-1.1345973
SRVY,11.041637158010644,-0.5165277
SRX,-9.511370044211233,1.086139
SRZ,-4.508015012735281,0.13126689
SSCC,-1.7351693687958814,0.098348014
SSD,1.6137822325253848,-1.1992805
SSFC,0.27825890536200165,-4.3110642
SSI,-7.337154172409508,0.24252985
SSL,2.9528695570479093,0.8578561
SSP,0.11621896386997713,0.37675548
SSRI,-1.8060226642750807,0.66788864
SSS,-2.6805519657147925,0.30018649
SSTI,-2.2109638994684704,1.1328012
SSTR,-7.0503625853652325,-0.5859565
SSW,1.8711795878991035,0.2386206
SSY,-17.97434685797338,-0.28382427
SSYS,2.338337910298783,-1.3881928
STA,2.998832505036493,-2.0864985
STAA,-1.4031220770481685,-1.65741
STAK,-7.95354241969321,-0.06805898
STAN,0.979608585177588,-1.8278364
STBA,1.8577434630122445,0.41666263
STBC,3.2286212127806366,-1.9903944
STC,9.96252715362389,-1.5933217
STD,1.6160680861393182,4.5580764
STE,-3.0952390766009805,0.88105416
STEC,29.211322362396164,-2.3768299
STEI,-2.5057754294019388,0.53386307
STEM,-10.97973769355289,-7.786818
STEN,6.942837407036983,-0.35176116
STFC,3.990556750528855,0.17394653
STG,-20.295775429401946,-14.738385
STGN,-3.4274958595094684,-1.6103078
STI,1.3553494965897683,-0.11561823
STJ,-2.3663443571918723,-1.0260698
STKL,-14.273048156674664,-0.087751254
STKR,17.985474570598054,-0.9213657
STL,2.6674225401411933,0.17089877
STLD,-0.15902658502597414,-6.689899
STLW,0.8226456232296293,0.3495321
STLY,-4.85579873942526,0.18366536
STM,0.9542245705980396,0.29377943
STMP,-0.5933944770209911,-0.24807784
STN,13.8454330926992,-0.5469558
STNR,0.32235643872992537,0.9884621
STO,-7.586808864052402,-2.9584024
STON,2.8924492807140183,-1.6633799
STP,10.450696196590409,0.5203107
STR,-6.277864532351984,-0.07509108
STRA,-5.091272836285497,0.22543724
STRL,-12.988790135284292,-0.7297077
STRM,7.26778389263196,0.78431964
STRN,0.06949622992256863,-1.8258703
STRS,1.204224570598051,0.8486182
STRT,5.986413411799767,0.9946306
STSA,-1.0133885616113525,1.6343471
STSI,-11.084236967863486,0.42181745
STST,-6.931105048714852,0.73845273
STT,7.262053752092711,-0.15365517
STTS,-8.186400429401944,1.5724158
STTX,0.10664622301970147,-0.6222565
STU,2.192767744741807,0.14641882
STX,1.0202623064471097,0.16222501
STXN,9.427309456726423,0.69800913
STXS,2.717790462070917,-2.1102104
STZ,1.4176980371728285,-0.301724
SU,-1.7105200752009695,2.5480068
SUAI,-23.569584953211464,0.253719
SUBK,3.1224648013874616,-0.086837865
SUF,-10.232216107368053,-2.959392
SUFB,-8.476468498708886,1.2443728
SUG,-2.261338935663124,-0.4758318
SUI,-4.234279755730738,-0.14393751
SUMT,-14.768915925269713,-0.002125681
SUN,-12.1615547751364,-1.8681189
SUNH,17.694129558721578,-0.81197375
SUNW,-0.9922698943465906,-5.7033396
SUP,-4.763211859085397,0.21484256
SUPG,7.509342680834272,0.47564596
SUPR,0.5706266870001725,-0.95334053
SUPX,-19.558514282905133,-1.0460811
SUR,6.407712942691082,1.3307912
SURG,12.184201687302865,-1.5766947
SURW,8.403389421723684,-1.3495041
SUSQ,-3.182680191306712,0.80287623
SVA,-27.72603294013156,-3.1276398
SVL,7.626484078428036,-2.404562
SVM,0.8188317406972054,-0.020497901
SVN,-1.3421094416219097,-3.1055994
SVNT,-7.968612182301133,2.1042087
SVR,7.1266728694639685,1.019929
SVU,3.013665130038621,-1.2989239
SVVS,13.632045909158686,0.57822496
SWAT,-30.22224601763723,-2.577837
SWC,-11.153461578321075,1.4534733
SWFT,-9.501618596512717,-0.7163508
SWHC,-26.59413132882168,-1.0834253
SWIR,12.821223148122954,1.6044368
SWK,-1.9434688078072009,0.06886277
SWKS,-2.1107471808143754,-0.5671325
SWM,4.1739942443024765,-0.5072302
SWN,-23.05790096435204,0.3568076
SWRG,-3.5104119716416413,-3.0210996
SWS,7.697922049589661,0.90629756
SWSI,4.6357582169204266,-1.3137354
SWW,-1.3088086047574008,0.02715839
SWWC,5.939689686877119,-0.04868435
SWX,1.2167994989274658,0.1584444
SWY,9.391724570598056,-0.8058664
SWZ,-5.1059848534857135,0.46747673
SXC,3.4680240186201328,0.7696359
SXCI,8.964883965739357,0.2605384
SXI,-0.4837110417484435,-0.39970815
SXL,2.8252688743955243,-0.31879005
SXT,1.6656066844192032,0.06726022
SY,1.6526051373996702,0.29105112
SYBR,-13.502297168532381,-6.7737713
SYBT,-0.4029182865448019,-0.10242482
SYGR,-2.4507528049675567,-0.1779616
SYK,3.3172258407849533,0.053451702
SYKE,4.123158810960867,0.42717484
SYM,6.239257217509158,-12.639022
SYMC,-0.5385811847976253,-0.4917437
SYMM,2.041668516786398,1.8036724
SYNA,4.685278797610521,0.4155899
SYNF,0.7600498133164945,-0.06467513
SYNL,2.4455945813855324,-0.4829393
SYNM,18.974455784470887,-37.864014
SYNO,14.23311904295985,-0.34516948
SYNP,-9.373251467740607,-0.25933132
SYNT,-5.911447071192982,0.05911288
SYNX,7.545133661507143,-1.5833315
SYPR,-8.145488485356031,-0.07292041
SYS,2.709543719534228,-5.8898206
SYT,3.6238530035544403,-0.7238606
SYX,24.12757700612813,-0.026492901
SYY,1.1201658110768271,-1.391109
SZE,5.671314639882119,-2.1295533
T,3.3493294657029486,-3.3832564
TAC,-1.414023123736592,0.0013317211
TACT,-3.2325224173537386,-0.80485183
TAG,-10.283639507071856,-1.5074781
TAGS,3.896401441346358,-6.515939
TAI,-0.5366452035490035,-0.22402677
TAL,8.83264345407501,1.5052246
TALX,9.201036956754699,0.3864344
TAM,7.851092281361133,0.46150425
TAP,5.453177998122903,-0.058367502
TAR,-0.21760719475888007,0.6066888
TARR,2.234010930499444,-3.1312177
TASR,-10.349980422831633,-1.3530844
TATTF,2.273886436596809,0.062715515
TAXI,3.6280321696279563,-2.220786
TAYC,1.8139623471618256,1.7539098
TAYD,-1.054777066063153,-0.5224912
TBAC,-3.934853927695456,-0.26969287
TBBK,9.129900246273731,-0.53328806
TBHS,-1.493143850454569,-0.23889849
TBIO,2.8986690150425023,-5.250177
TBL,-1.1024568733538236,0.8670293
TBSI,4.175048369225056,-1.2779335
TBUS,-9.949136773939768,-5.388006
TBV,17.029288183829607,-7.315058
TBWC,-1.6041184865781304,-0.5832931
TCB,3.997623549445622,-0.0135822855
TCBI,0.3656933834753129,1.6178032
TCBK,1.4310713181173569,-1.0478249
TCHC,-10.682617534665114,-4.673881
TCK,-1.864289032587094,-0.3653777
TCLP,9.009780126153599,-0.4450217
TCMI,9.306937748892627,-0.59325975
TCN,-2.338527411281904,-1.9248626
TCO,1.3641734498744928,-0.73978394
TCX,3.1601069235392214,-0.9587266
TD,0.5754873065258913,3.900221
TDF,2.3003784167519057,-0.1557587
TDG,1.886891488742151,0.5223066
TDK,2.1685458967852704,0.0502326
TDS,3.663133092593265,0.22879659
TDSC,11.862745873856197,-1.8757386
TDW,-15.400200574149675,-0.9568086
TDY,-2.3930218784425548,0.6404034
TE,-0.3850093237722344,-0.42569348
TEAM,0.6764467928202764,-1.047459
TEC,-4.551787453450031,-2.3344858
TECD,-12.108225917915282,0.7252587
TECH,0.14944549034558302,1.0756152
TECUA,2.1820352214856222,-0.28065246
TEF,3.7875579039313845,0.28065234
TEI,-2.351636235262748,-0.20358056
TEK,-7.579371589840746,1.1591423
TELK,-283.93855195310397,-3.0376694
TELN,4.621157053320005,-0.86703
TELOZ,22.94402048896541,-29.049147
TEN,2.054548195193526,1.1822428
