A,-8.869305311035486
AA,4.562366200194067
AAA,2.11259315755082
AAACW.OB,3.0550893897411115
AAC,-14.899456064804346
AACC,-8.705762371110644
AACQ.OB,-2.0358197011679784
AACQU.OB,nan
AACQW.OB,-0.7045408105670444
AACS.OB,-2.399456064804334
AAD.V,-6.74728215176086
AAG.V,-13.38846705381532
AAI,16.66731786922623
AAME,nan
AAMU.OB,-16.124946260882755
AANB,nan
AANI.OB,-13.510567175915442
AAO.V,-102.39945606480434
AAON,13.324039637201398
AAP,-1.4163099973886
AAPL,9.12138181431415
AAR,-1.8602607101797013
AATI,-12.5077593139018
AATK,nan
AAU,1.897418935195661
AAU.V,8.470109152586971
AAUK,-1.3733765436414356
AAV,4.098166756114831
AAWW,-10.406069196594588
AB,-4.700410437925011
ABA,-1.5930044519011053
ABAT.OB,-13.689778645449488
ABAX,-6.904893661904287
ABB,5.892927227578966
ABBC,nan
ABBI,-0.9080317545880832
ABC,-5.13918209220159
ABCB,-2.399456064804334
ABCO,-2.4715671158229013
ABCW,-4.248723336262817
ABD,2.011729441300435
ABER,nan
ABFS,-10.315023347126234
ABG,-4.226134059706626
ABG.V,1.6005439351956692
ABHH.OB,nan
ABI,-4.7594999725979665
ABI.V,18.588198256183325
ABIX,-13.527740454294298
ABK,0.0993762565408323
ABLE.PK,43.05508938974112
ABM,1.981863145595281
ABMC,-11.288344953693217
ABMD,-15.405007214685384
ABN,0.3247964268900186
ABN.V,6.691453026104764
ABNJ,nan
ABP,12.292487063157745
ABPI,-2.399456064804334
ABR,-1.018436234776016
ABT,-3.556764251688188
ABTG.OB,-24.621678287026562
ABTL,nan
ABV,1.7428124235929692
ABVA,-4.251307916656191
ABVT.PK,4.803933765704141
ABX,-1.6360972861783736
ABXA,6.289327505495821
ABY,-7.06047301395689
ABZT.PK,-30.97088463623289
ACAD,-4.322532987881254
ACAM,nan
ACAP,-39.899456064804326
ACAS,2.2845916594554923
ACAT,-11.397040605867147
ACBA,nan
ACC,7.80256413721586
ACCL,-7.349951114309297
ACE,-3.7189493793715402
ACEC,-23.4520876437517
ACEL,-11.609982380593802
ACET,-4.749632328024088
ACF,-11.397323868642285
ACFC,-3.23278939813766
ACG,-0.9378239088968924
ACGI.OB,-35.732789398137676
ACGL,1.0586277675309983
ACGY,2.5751632245357694
ACH,9.749138312705714
ACHI.OB,-2.399456064804334
ACHM.OB,23.711655046306774
ACI,0.16321802990319143
ACKH.OB,-15.912969578317846
ACL,0.1274550827964776
ACLI,5.085401160462463
ACLS,-9.754698631314517
ACMR,-6.059709466962951
ACN,0.5679029856407694
ACNB.OB,nan
ACO,2.679794655656761
ACOR,7.207981951724589
ACP,19.691396455419678
ACPW,5.436364830718052
ACS,-8.11656783532857
ACSEF,14.053535388187111
ACT.V,-47.854001519349794
ACTC.OB,-3.6652788496144617
ACTG,5.640744940220786
ACTI,-13.510567175915439
ACTL,9.283287772280339
ACTS,5.275738595929809
ACTU,3.166406643915515
ACU,-2.3293298375953597
ACUR.OB,15.042404400311948
ACUS,-21.08457717207077
ACV,-155.7626847643559
ACW,-11.635690523063667
ACXM,-1.8376583119953431
AD,-1.3879928146357547
ADA.V,31.66647800112974
ADAM,-26.641880307228565
ADAT,-25.7760794414277
ADB.V,-12.925771854278015
ADBE,1.9830140547175734
ADBL,4.00757911107506
ADC,-2.9427789129598896
ADCT,-5.8802392410189865
ADD.V,2.362448697100419
ADDL.OB,-45.2565989219472
ADEP,18.311655046306775
ADF,0.21492302016298814
ADG,8.005168212652316
ADGO.OB,-6.716002827394267
ADH,5.933877268528992
ADI,-0.4621866921105996
ADI.V,-1.0836665911201226
ADL,-4.974563360941675
ADLR,-77.7191491594335
ADLS,nan
ADM,-11.715695381043638
ADM.V,7.970914305566044
ADMG.PK,nan
ADMT.OB,-20.256598921947187
ADNW.PK,nan
ADO,4.195268155819165
ADP,-4.825332075586009
ADPI,-12.72676983455604
ADPT,-6.527896431776805
ADRA,-1.2876390381207212
ADRD,-1.667238491582574
ADRE,3.131997297451629
ADRU,0.7490723403975756
ADS,3.967411498168917
ADSK,7.8968042557396245
ADST,31.342875223539217
ADSX,-10.581274246622502
ADT.V,3.3148296494813696
ADTN,-9.23118462968284
ADVNA,nan
ADVNB,11.38835629819435
ADVS,-3.2747295877802647
ADX,-4.673850782339175
ADXS.OB,-20.046514888333743
ADY,19.388253432402365
ADZA,7.607084157563222
AE,-27.151931312329076
AEA,-8.472902392487946
AEC,-14.644354023988013
AED,-2.204903535621452
AEE,-1.1199824767948243
AEG,-4.271702760839576
AEH,-0.6137417790900452
AEHR,-15.50429477448176
AEIS,5.90002159044813
AEL,-0.7071483724966372
AEM,11.850487026477246
AEMLW,20.478630354948763
AEN,4.267210601862338
AENS.OB,-44.334939935772084
AEO,-1.579143564804331
AEOS,-4.5906911245652955
AEP,-2.7367241929662245
AEPI,-5.294346292121221
AERT,-9.241561327962224
AES,3.248810944181546
AESRO.OB,nan
AET,-3.1256724772952493
AEV,-1.4397631665317816
AEY,3.7471160392145832
AEZ,22.75777663959818
AEZS,-0.5126636119741522
AF,-0.22554302132607798
AFB,-0.7601118025092523
AFCE,1.930561489320876
AFE,1.4250658699538326
AFFM,-5.937631111359271
AFFX,-3.8619066576897136
AFG,5.7024401236653155
AFI.V,2.362448697100419
AFL,-4.438422988229796
AFMIU.OB,nan
AFOP,1.1005439351956687
AFP,-6.798843976051459
AFR,-2.1443540239880132
AFT,10.746083841298946
AFVS.OB,-17.214270879619146
AG,9.416105894849848
AGC.V,41.35054393519567
