AEMD.OB,0.075,0.062
AEMI.OB,0.28,0.28
AEN,0.59,0.9689
AENY.OB,0.09,0.057
AEO,13.00,13.91
AEP,38.71,39.68
AEPI,25.08,24.35
AER,11.54,10.76
AERG,0.155,0.085
AERL,6.32,6.25
AERN.PK,0.0143,0.0102
AERO.PK,0.02,0.035
AERS.PK,0.04,0.025
AERT.OB,0.101,0.11
AES,10.94,12.08
AET,39.33,41.82
AETI,3.77,4.15
AETUF.PK,24.88,25.00
AEV,21.28,21.01
AEX.V,0.025,0.02
AEXP.OB,0.06,0.038
AEY,2.08,1.96
AEZS,1.66,1.60
AF,7.79,7.54
AFA.V,0.04,0.04
AFAM,15.96,14.97
AFB,14.00,14.36
AFC,22.70,23.26
AFCE,13.78,15.70
AFE,25.10,25.20
AFF,21.13,20.74
AFFM,1.41,0.95
AFFX,5.23,4.52
AFFY,5.24,5.27
AFG,34.30,36.00
AFK,27.95,27.6599
AFL,42.97,43.44
AFLB.OB,0.026,0.0151
AFM.V,0.60,0.57
AFOP,7.77,7.73
AFPW.OB,0.0032,0.0028
AFQ,25.63,25.53
AFRVY.PK,21.09,20.25
AFSE.OB,0.0013,0.0016
AFSI,24.81,26.51
AFT,16.72,16.22
AFTC.PK,0.0008,0.0008
AG,16.80,16.28
AGA,17.49,19.29
AGAC.OB,4.10,1.90
AGC,6.69,6.27
AGC.V,1.35,1.30
AGCO,42.93,45.75
AGD,5.95,5.63
AGE.V,0.38,0.45
AGEL.PK,0.0001,0.0001
AGEN,2.76,2.42
AGF,19.082,17.98
AGFL.OB,0.048,0.0403
AGG,110.23,109.38
AGG.V,0.44,0.40
AGGFF.PK,0.4562,0.3985
AGGZF.PK,31.2079,30.1366
AGIGF.PK,17.9487,16.80
AGII,28.90,29.30
AGL,40.29,41.23
AGL.V,0.35,0.25
AGM,18.92,16.99
AGM.V,0.86,0.83
AGN,81.77,83.72
AGNC,27.31,28.69
AGO,11.85,9.70
AGO.V,0.15,0.125
AGOL,169.82,169.782
AGP,55.45,57.17
AGP.V,0.045,0.04
AGPPY.PK,11.17,11.17
AGQ,62.942,60.62
AGQ.V,0.35,0.34
AGRO,9.34,8.53
AGSO.OB,0.18,0.17
AGU,78.79,69.99
AGUNF.PK,0.058,0.0425
AGX,12.68,14.00
AGX.V,0.065,0.04
AGXMF.OB,0.459,0.319
AGYS,8.03,8.13
AGZ,112.46,112.62
AH,23.03,23.08
AHB,9.24,9.31
AHBIF.PK,54.15,59.85
AHBY.PK,0.0004,0.0004
AHC,4.63,4.13
AHC.V,0.09,0.095
AHCHF.PK,3.58,3.24
AHF.V,1.37,1.42
AHGP,48.37,50.68
AHKSY.PK,11.73,12.14
AHL,25.37,26.52
AHONY.PK,12.35,12.66
AHPI,3.46,3.61
AHR.V,0.33,0.475
AHRO.OB,1.39,1.24
AHS,4.53,4.59
AHT,8.23,7.96
AHY,10.21,10.05
AI,21.99,19.94
AIA,40.94,41.365
AIA.V,0.35,0.36
AIBSF.PK,0.17,0.075
AIBYY.PK,1.14,0.825
AIFLY.PK,0.36,0.35
AIG,23.42,23.31
AII.V,1.10,0.87
AIIFF.PK,2.065,1.465
AIMC,14.97,17.74
AIME.PK,0.005,0.0016
AIMH.PK,0.0123,0.015
AIMM.PK,0.008,0.0055
AIN,21.22,24.26
