,WeekLow,RecentPrice,WeekHigh,Beta,DailyVolume3,DailyVolume10,WeekChange,WeekChangeWSP,MarketCapitalization,SharesOutstanding,FL,AnnualDividend,DividendYield,BookValue,Earningsttm,Earnings,Salesttm,Sales,Cash,PriceBook,PriceEarnings,PriceSales,EBITDA,Income,ProfitMargin,OperatingMargin,ReturnAssets,CurrentRatio,DebtEquity,TotalCash,SharesShortPD,SharesShort,PercentofFloat,ShortRatio,LastSplit,SharesADR,TermDebtEquityLong,ReturnEquity,DailyVolume,Company
89,7.17,9.33,10.72,0.09,4180000.0,4100000.0,504.0,139.0,18130000.0,1940000.0,1610000.0,100.0,1072.0,6.47,0.21,0.08,8.15,15900000.0,0.21,1.44,4486.0,115.0,7860000.0,4180000.0,67.0,-1.0,130.0,0.0,306.0,4120000.0,6200000.0,5300000.0,4.0,2.21,0.0,0.0,0.0,305.0,2800000.0,AEC
90,11.375,14.58,18.0,0.49,1670000.0,1300000.0,539.0,166.0,65230000.0,4470000.0,6260000.0,0.0,0.0,7.44,0.15,-0.29,9.22,41250000.0,7.23,1.96,9529.0,158.0,0.0,6860000.0,17.0,0.0,18.0,0.0,0.0,32320000.0,7000.0,1800000.0,1.0,0.58,0.0,165.0,2.78,219.0,1200000.0,AED
91,36.53,40.78,46.938,-0.09,43170000.0,39800000.0,391.0,54.0,56000000000.0,13720000.0,13580000.0,254.0,623.0,23.06,3.22,0.69,30.4,41700000000.0,0.53,1.77,1266.0,134.0,13200000000.0,44210000.0,106.0,221.0,457.0,0.71,101.0,7250000.0,6170000.0,5700000.0,45.0,10.52,0.0,0.0,0.0,1393.0,58700000.0,AEE
92,19.69,26.45,43.0,0.79,17910000.0,26800000.0,-81.0,-304.0,37500000000.0,14200000000.0,87860000.0,0.0,0.0,10.16,1.4,0.6,21.75,29000000000.0,0.0,2.6,1885.0,122.0,0.0,18700000000.0,69.0,99.0,87.0,0.0,18.0,0.0,29000000.0,46000000.0,0.0,1.96,0.0,1.0,0.0,1490.0,14800000.0,AEG
93,3.4,4.04,13.937999999999999,0.0,2830000.0,3300000.0,68.0,-2.0,8080000.0,2000000.0,1300000.0,0.0,0.0,2.68,-9.83,-0.32,0.29,3890000.0,2.6,1.51,0.0,1375.0,-1910000.0,-3550000.0,0.0,0.0,-4245.0,16.07,0.0,5190000.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,-16098.0,5000.0,AEGN
94,3.18,3.53,7.0,0.39,5000.0,1500000.0,-283.0,-457.0,2520000.0,7130000.0,2400000.0,0.0,0.0,4.81,0.1,-0.09,3.51,2510000.0,2.18,0.73,3677.0,101.0,64800000.0,68700000.0,27.0,6.0,171.0,9.96,0.0,1550000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,1000.0,AEHR
95,15.0,17.57,45.06,3.24,52550000.0,47100000.0,-307.0,-475.0,55860000.0,3180000.0,1490000.0,0.0,0.0,7.38,0.81,-0.46,9.94,31990000.0,5.09,2.38,2164.0,177.0,4930000.0,2660000.0,84.0,108.0,740.0,10.65,35.0,16160000.0,3880000.0,1920000.0,261.0,3.92,0.0,0.0,0.0,1208.0,99000000.0,AEIS
96,4.875,10.6,11.75,0.27,24990000.0,37600000.0,1487.0,884.0,70810000.0,6680000.0,6550000.0,2.0,19.0,3.25,0.01,-0.02,1.64,9420000.0,1.31,3.26,88333.0,645.0,2350000.0,37200000.0,4.0,155.0,10.0,7.09,88.0,8730000.0,1200000.0,1050000.0,18.0,5.24,0.0,0.0,0.0,25.0,22900000.0,AEM
97,16.95,23.01,43.0,2.28,2420000.0,2430000.0,299.0,-16.0,16600000000.0,7200000.0,5230000.0,0.0,0.0,5.91,1.5,0.2,17.1,12500000000.0,1.05,3.9,1533.0,135.0,20280000.0,10920000.0,87.0,137.0,2237.0,2.42,6.0,7550000.0,2810000.0,3910000.0,54.0,0.8,0.0,0.0,0.0,3130.0,3540000.0,AEOS
98,36.188,45.87,51.2,-0.1,87900000.0,1060000.0,658.0,257.0,14800000000.0,32220000.0,31900000.0,240.0,523.0,25.29,0.0,0.87,0.0,0.0,0.66,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,193.0,21200000.0,2820000.0,2950000.0,9.0,4.22,0.0,0.0,0.0,0.0,66900000.0,AEP
99,11.6,13.3,70.875,1.74,4560000.0,1480000.0,-740.0,-803.0,70800000000.0,53230000.0,39390000.0,0.0,0.0,10.63,1.15,0.21,16.36,84400000000.0,3.04,1.25,1155.0,81.0,23600000000.0,57400000.0,85.0,115.0,220.0,0.8,366.0,16200000000.0,1310000.0,1540000.0,33.0,5.32,0.0,0.0,0.0,1149.0,2460000.0,AES
100,1.063,2.8,3.69,0.68,7130000.0,4000000.0,791.0,357.0,1190000.0,4260000.0,1900000.0,0.0,0.0,1.69,-0.24,-0.32,7.89,3110000.0,0.15,1.65,0.0,35.0,-9000000.0,-84600000.0,-27.0,-18.0,-569.0,1.73,21.0,61800000.0,3900000.0,5800000.0,21.0,0.27,0.0,0.0,0.0,-1149.0,14500000.0,AESP
101,23.01,29.06,42.688,0.0,74130000.0,58300000.0,-139.0,-196.0,41500000000.0,14280000.0,9710000.0,0.0,0.0,70.44,-2.45,0.07,184.74,26300000000.0,11.81,0.41,0.0,16.0,0.0,-34660000.0,-13.0,-14.0,-72.0,0.0,21.0,16900000000.0,7000000.0,6860000.0,72.0,9.29,0.0,0.0,0.0,-331.0,75400000.0,AET
102,1.063,7.96,8.69,0.76,4560000.0,4100000.0,2112.0,1359.0,10170000.0,1280000.0,6800000.0,0.0,0.0,7.7,-0.53,0.0,22.23,27390000.0,2.23,1.03,0.0,36.0,3570000.0,-6240000.0,-23.0,49.0,-155.0,2.3,295.0,2790000.0,5100000.0,3800000.0,8.0,2.32,0.0,0.0,0.0,-628.0,2200000.0,AETC
103,5.25,6.04,122.5,0.0,72720000.0,70700000.0,-900.0,-924.0,24580000.0,4070000.0,1750000.0,0.0,0.0,21.11,-38.74,-2.74,2.64,10470000.0,15.78,0.29,0.0,229.0,-11600000000.0,-15600000000.0,0.0,0.0,-7259.0,7.65,37.0,64150000.0,4070000.0,4140000.0,232.0,7.29,0.0,0.0,0.0,-9199.0,55800000.0,AETH
104,2.25,10.42,11.39,0.34,1350000.0,6000.0,2098.0,1348.0,2600000.0,2490000.0,1000000.0,0.0,0.0,3.73,0.51,0.12,15.56,5050000.0,0.34,2.8,2035.0,67.0,4090000.0,1660000.0,33.0,65.0,832.0,1.74,57.0,84000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1543.0,8000.0,AFAM
105,39.74,42.99,74.25,0.73,25640000.0,46800000.0,-94.0,-314.0,22700000000.0,5280000.0,4170000.0,25.0,58.0,47.4,3.02,0.25,59.1,31600000000.0,9.14,0.91,1425.0,73.0,0.0,16170000.0,56.0,54.0,56.0,0.0,11.0,48270000.0,51600000.0,17600000.0,12.0,2.5,0.0,0.0,0.0,670.0,20600000.0,AFC
