A,35.24,37.50
AA,10.22,10.02
AA.V,0.225,0.155
AAA.V,1.27,0.00
AAC,N/A,9.82
AACC,3.23,3.52
AACS.PK,0.001,0.001
AADG.OB,N/A,0.026
AADR,28.2143,27.23
AAG.V,0.235,0.34
AAIAF.PK,N/A,31.2728
AAIIQ.PK,0.01,0.01
AAIR.OB,1.30,0.90
AAM.V,0.90,1.16
AAME,1.80,1.99
AAMTF.PK,N/A,0.076
AAN,25.99,26.28
AAN.V,0.07,0.07
AAON,20.34,21.91
AAP,63.51,69.22
AAPH.OB,0.26,0.265
AAPL,397.50,382.20
AAR,13.52,3.985
AASL.PK,0.13,0.20
AAT,19.74,20.64
AAT.V,N/A,0.07
AATI,4.28,5.745
AAU,2.65,2.72
AAUKF.PK,N/A,34.90
AAWW,36.77,42.25
AAX.V,0.05,0.04
AAXJ,52.33,52.47
AB,13.95,13.41
ABAT,0.93,0
ABAT.PK,0,0.41
ABAX,27.04,27.67
ABB,17.93,18.97
ABB.V,0.02,0.02
ABC,39.51,37.15
ABCB,9.64,10.00
ABCD,3.15,3.20
ABCO,60.79,72.38
ABCP.OB,1.31,1.35
ABCW,0.5005,0
ABCW.PK,0,0.375
ABD,6.50,9.43
ABE.V,N/A,0.055
ABFS,19.81,19.12
ABG,17.61,19.72
ABGFF.PK,0.605,0.516
ABGOF.PK,N/A,22.55
ABH,16.20,15.03
ABHD.OB,0.52,0.48
ABI,N/A,13.81
ABI.V,0.085,0.085
ABIO,1.12,1.38
ABKI.PK,1.18,0.95
ABL,N/A,4.71
ABL.V,0.56,0.53
ABLZF.PK,17.905,18.77
ABM,19.34,21.73
ABM.V,0.40,0.355
ABMBF.PK,N/A,0.073
ABMC.PK,0.12,0.13
ABMD,14.40,20.14
ABN.V,0.115,0.09
ABNAF.PK,N/A,0.107
ABPI.PK,0.36,0.32
ABPR.PK,N/A,0.0013
ABR,3.51,3.45
ABR.V,0.095,0.045
ABS.V,0.38,0.33
ABT,52.95,54.55
ABTO.OB,0.49,0.60
ABV,32.84,34.38
ABV.V,0.30,0.24
ABVA,5.28,3.77
ABVT,57.80,59.74
ABX,47.72,52.88
ACAD,1.16,0.98
ACAR.OB,0.41,0.50
ACAS,7.50,6.97
ACAT,19.64,19.88
