AEHR,0.766,0.9001
AEIS,8.01,9.30
AEL,8.17,10.84
AEL.V,0.065,0.07
AEM,58.32,43.39
AEMD.OB,0.109,0.075
AEN,0.51,0.6149
AENY.OB,0.066,0.085
AEO,11.32,13.13
AEP,37.15,39.28
AEPI,20.31,27.03
AER,9.19,11.86
AERG,0.193,0.15
AERL,5.00,6.55
AERN.PK,0.052,0.0183
AERS.PK,0.049,0.038
AERT.OB,0.12,0.101
AES,9.44,11.22
AET,34.33,39.76
AETI,3.671,3.80
AETUF.PK,19.681,25.48
AEV,19.10,22.13
AEX.V,0.035,0.025
AEXP.OB,0.025,0.078
AEY,2.13,2.13
AEYIF.PK,0.5375,0.635
AEZS,1.43,1.69
AF,7.33,8.30
AFA.V,0.055,0.04
AFAM,14.81,18.64
AFB,14.27,13.92
AFC,21.94,22.80
AFCB,12.4999,12.33
AFCE,11.62,13.65
AFE,25.06,25.15
AFF,19.63,21.47
AFF.V,0.80,0.87
AFFM,1.20,1.41
AFFY,4.24,5.32
AFG,30.26,35.83
AFH.V,2.00,1.84
AFK,25.58,28.55
AFL,33.57,45.09
AFLB.OB,0.0299,0.0249
AFOP,7.09,7.91
AFPW.OB,0.0015,0.0037
AFQ,26.06,26.20
AFR.V,0.17,0.15
AFT,15.32,16.81
AFTC.PK,0.0009,0.0012
AFYG.PK,0.0229,0.011
AG,14.90,17.01
AGA,18.75,16.89
AGA.V,0.05,0.07
AGAC.OB,3.69,3.30
AGC,6.06,6.87
AGC.V,1.30,1.35
AGCBF.PK,1.2389,1.33
AGCO,32.39,43.83
AGD,5.18,6.02
AGD.V,0.215,0.22
AGE.V,0.40,0.42
AGEN,0,2.74
AGEND,2.64,0
AGF,18.35,19.3401
AGFL.OB,0.052,0.048
AGG,110.34,110.03
AGG.V,0.34,0.42
AGGFF.PK,0.3339,0.4562
AGGZF.PK,34.041,32.079
AGIGF.PK,14.7255,18.38
AGII,27.05,30.19
AGL,39.00,41.94
AGM,17.94,20.18
AGN,79.63,84.12
AGNC,25.89,27.51
AGO,10.35,12.74
AGO.V,0.135,0.15
AGOL,164.48,170.73
AGP,38.00,55.63
AGPDF.PK,11.70,13.50
AGPPY.PK,11.01,11.92
AGQ,107.86,67.46
AGQ.V,0.27,0.37
AGRO,8.29,9.72
AGRPY.PK,33.60,37.08
AGSO.OB,0.28,0.20
AGU,64.09,82.29
AGUNF.PK,0.064,0.058
AGX,9.36,13.60
AGX.V,0.08,0.07
AGXMF.OB,0.62,0.5265
AGYS,6.56,8.49
AGZ,112.85,112.29
AH,19.78,23.81
AHBIF.PK,52.90,56.10
AHBRF.PK,0.3365,0.3365
AHC,3.92,5.00
AHC.V,0.065,0.085
AHCHF.PK,2.70,3.78
AHCI,3.85,0.00
AHF.V,1.25,1.46
AHGP,42.72,48.40
AHKSY.PK,11.86,11.88
AHL,22.16,26.49
AHNR.OB,0.44,0.395
AHONY.PK,11.44,12.75
AHPI,3.65,3.58
AHR.V,0.30,0.31
AHRO.OB,1.75,1.45
AHS,3.66,4.74
AI,21.80,23.08
AIA,35.50,41.44
AIDO.PK,0.0081,0.0047
AIFLY.PK,0.34,0.35
AIMC,10.60,14.70
AIMH.PK,0.019,0.0123
AIMM.PK,0.01,0.008
AIN,17.24,22.59
AINV,7.10,8.28
AIP,42.70,49.99
AIQ,1.13,1.11
AIQUY.PK,22.47,25.75
AIR,15.17,19.93
AIRM,62.50,80.82
AIRT,7.45,8.10
AIS,2.14,2.27
AIT,25.98,33.62
AIVAF.PK,4.253,5.966
AIVN.OB,0.04,0.07
AIX.V,0.135,0.20
AIXG,13.47,14.08
AIZ,34.07,38.54
AJG,25.54,30.90
AJGH.PK,0.27,0.25
AKAM,18.65,26.94
AKBTY.PK,7.53,7.27
AKE,9.58,9.56
AKO-A,20.07,23.00
AKP,13.55,13.70
AKR,17.85,20.72
AKRX,7.55,8.99
AKS,5.77,8.33
AKSJF.PK,2.28,2.845
AKTAF.PK,9.545,9.329
AKV.V,0.04,0.04
AKVA.OB,0.24,0.20
AL,17.96,22.33
ALAN.OB,0.75,0.70
ALB,39.00,53.29
ALBKY.PK,0.47,0.44
ALBY.PK,0.90,1.05
ALC,12.26,14.21
ALCO,20.30,22.77
ALD,49.25,51.49
ALDA.PK,2.14,2.70
ALE,35.95,39.51
ALEX,34.41,41.51
ALFAA.MX,140.640,155.290
ALG,20.11,23.85
ALGN,14.26,23.03
ALGT,45.45,51.96
ALH.V,0.36,0.42
ALIAF.PK,9.55,11.5987
ALIM,7.09,7.11
ALIOF.PK,33.75,38.35
ALJ,5.47,7.60
ALK,51.32,66.53
ALKS,13.98,17.49
ALL,22.71,26.34
ALLB,10.08,9.72
ALLT,9.45,13.37
ALLZF.PK,10.66,13.20
ALM,26.26,26.50
ALME.OB,0.44,0.361
ALN,1.52,1.35
ALN.V,0.16,0.15
ALNC,27.62,30.79
ALNY,6.00,8.12
ALOG,43.79,54.08
ALOT,7.07,7.98
ALQA.OB,0.067,0.068
ALR,18.51,26.06
ALR.V,0.13,0.14
ALRN,1.82,2.08
ALRX.OB,0.047,0.044
ALSC.PK,0.25,0.36
